date,close,open,high,low,open,high,low,open,high,low,open,high,low,open,high,low
8.01.1968,12.417,12.339,12.426,12.339,12.275,12.457,12.275,12.508,12.508,12.232,12.751,12.799,12.483,13.035,13.035,12.751
9.01.1968,12.442,12.426,12.534,12.426,12.339,12.426,12.339,12.275,12.457,12.275,12.508,12.508,12.232,12.751,12.799,12.483
10.01.1968,12.552,12.45,12.568,12.45,12.426,12.534,12.426,12.339,12.426,12.339,12.275,12.457,12.275,12.508,12.508,12.232
11.01.1968,12.66,12.591,12.759,12.591,12.45,12.568,12.45,12.426,12.534,12.426,12.339,12.426,12.339,12.275,12.457,12.275
12.01.1968,12.799,12.715,12.892,12.715,12.591,12.759,12.591,12.45,12.568,12.45,12.426,12.534,12.426,12.339,12.426,12.339
15.01.1968,12.952,12.843,13.008,12.843,12.715,12.892,12.715,12.591,12.759,12.591,12.45,12.568,12.45,12.426,12.534,12.426
16.01.1968,12.799,12.952,12.985,12.799,12.843,13.008,12.843,12.715,12.892,12.715,12.591,12.759,12.591,12.45,12.568,12.45
17.01.1968,12.799,12.799,12.808,12.66,12.952,12.985,12.799,12.843,13.008,12.843,12.715,12.892,12.715,12.591,12.759,12.591
18.01.1968,12.917,12.869,12.969,12.869,12.799,12.808,12.66,12.952,12.985,12.799,12.843,13.008,12.843,12.715,12.892,12.715
19.01.1968,12.907,12.917,12.969,12.825,12.869,12.969,12.869,12.799,12.808,12.66,12.952,12.985,12.799,12.843,13.008,12.843
22.01.1968,12.615,12.869,12.869,12.591,12.917,12.969,12.825,12.869,12.969,12.869,12.799,12.808,12.66,12.952,12.985,12.799
23.01.1968,12.952,12.615,13.008,12.575,12.869,12.869,12.591,12.917,12.969,12.825,12.869,12.969,12.869,12.799,12.808,12.66
24.01.1968,12.759,12.952,12.959,12.759,12.615,13.008,12.575,12.869,12.869,12.591,12.917,12.969,12.825,12.869,12.969,12.869
25.01.1968,12.825,12.759,12.852,12.543,12.952,12.959,12.759,12.615,13.008,12.575,12.869,12.869,12.591,12.917,12.969,12.825
26.01.1968,12.852,12.843,12.899,12.843,12.759,12.852,12.543,12.952,12.959,12.759,12.615,13.008,12.575,12.869,12.869,12.591
29.01.1968,12.768,12.852,12.886,12.759,12.843,12.899,12.843,12.759,12.852,12.543,12.952,12.959,12.759,12.615,13.008,12.575
30.01.1968,12.669,12.724,12.724,12.591,12.852,12.886,12.759,12.843,12.899,12.843,12.759,12.852,12.543,12.952,12.959,12.759
31.01.1968,12.357,12.591,12.591,12.292,12.724,12.724,12.591,12.852,12.886,12.759,12.843,12.899,12.843,12.759,12.852,12.543
1.02.1968,12.457,12.357,12.465,12.339,12.591,12.591,12.292,12.724,12.724,12.591,12.852,12.886,12.759,12.843,12.899,12.843
2.02.1968,12.385,12.457,12.508,12.333,12.357,12.465,12.339,12.591,12.591,12.292,12.724,12.724,12.591,12.852,12.886,12.759
5.02.1968,12.317,12.357,12.357,12.242,12.457,12.508,12.333,12.357,12.465,12.339,12.591,12.591,12.292,12.724,12.724,12.591
6.02.1968,12.201,12.292,12.292,12.192,12.357,12.357,12.242,12.457,12.508,12.333,12.357,12.465,12.339,12.591,12.591,12.292
7.02.1968,12.317,12.232,12.317,12.232,12.292,12.292,12.192,12.357,12.357,12.242,12.457,12.508,12.333,12.357,12.465,12.339
8.02.1968,12.033,12.292,12.292,12.033,12.232,12.317,12.232,12.292,12.292,12.192,12.357,12.357,12.242,12.457,12.508,12.333
9.02.1968,11.865,11.958,11.958,11.814,12.292,12.292,12.033,12.232,12.317,12.232,12.292,12.292,12.192,12.357,12.357,12.242
13.02.1968,11.865,11.865,11.989,11.849,11.958,11.958,11.814,12.292,12.292,12.033,12.232,12.317,12.232,12.292,12.292,12.192
14.02.1968,12.156,11.89,12.175,11.89,11.865,11.989,11.849,11.958,11.958,11.814,12.292,12.292,12.033,12.232,12.317,12.232
15.02.1968,12.175,12.175,12.317,12.175,11.89,12.175,11.89,11.865,11.989,11.849,11.958,11.958,11.814,12.292,12.292,12.033
16.02.1968,11.989,12.033,12.033,11.898,12.175,12.317,12.175,11.89,12.175,11.89,11.865,11.989,11.849,11.958,11.958,11.814
19.02.1968,12.156,11.989,12.216,11.989,12.033,12.033,11.898,12.175,12.317,12.175,11.89,12.175,11.89,11.865,11.989,11.849
20.02.1968,12.366,12.175,12.366,12.175,11.989,12.216,11.989,12.033,12.033,11.898,12.175,12.317,12.175,11.89,12.175,11.89
21.02.1968,12.45,12.385,12.465,12.385,12.175,12.366,12.175,11.989,12.216,11.989,12.033,12.033,11.898,12.175,12.317,12.175
23.02.1968,12.258,12.409,12.409,12.209,12.385,12.465,12.385,12.175,12.366,12.175,11.989,12.216,11.989,12.033,12.033,11.898
26.02.1968,12.209,12.258,12.275,12.183,12.409,12.409,12.209,12.385,12.465,12.385,12.175,12.366,12.175,11.989,12.216,11.989
27.02.1968,12.339,12.209,12.339,12.165,12.258,12.275,12.183,12.409,12.409,12.209,12.385,12.465,12.385,12.175,12.366,12.175
28.02.1968,12.258,12.339,12.401,12.201,12.209,12.339,12.165,12.258,12.275,12.183,12.409,12.409,12.209,12.385,12.465,12.385
29.02.1968,12.057,12.175,12.175,12.014,12.339,12.401,12.201,12.209,12.339,12.165,12.258,12.275,12.183,12.409,12.409,12.209
1.03.1968,11.989,12.057,12.057,11.983,12.175,12.175,12.014,12.339,12.401,12.201,12.209,12.339,12.165,12.258,12.275,12.183
4.03.1968,11.682,11.924,11.924,11.641,12.057,12.057,11.983,12.175,12.175,12.014,12.339,12.401,12.201,12.209,12.339,12.165
5.03.1968,11.841,11.682,11.874,11.656,11.924,11.924,11.641,12.057,12.057,11.983,12.175,12.175,12.014,12.339,12.401,12.201
6.03.1968,12.209,11.841,12.258,11.765,11.682,11.874,11.656,11.924,11.924,11.641,12.057,12.057,11.983,12.175,12.175,12.014
7.03.1968,12.156,12.209,12.258,12.075,11.841,12.258,11.765,11.682,11.874,11.656,11.924,11.924,11.641,12.057,12.057,11.983
8.03.1968,12.042,12.1,12.1,11.975,12.209,12.258,12.075,11.841,12.258,11.765,11.682,11.874,11.656,11.924,11.924,11.641
11.03.1968,12.324,12.066,12.339,12.066,12.1,12.1,11.975,12.209,12.258,12.075,11.841,12.258,11.765,11.682,11.874,11.656
12.03.1968,12.375,12.324,12.409,12.175,12.066,12.339,12.066,12.1,12.1,11.975,12.209,12.258,12.075,11.841,12.258,11.765
13.03.1968,12.275,12.357,12.357,12.25,12.324,12.409,12.175,12.066,12.339,12.066,12.1,12.1,11.975,12.209,12.258,12.075
14.03.1968,11.908,12.183,12.183,11.908,12.357,12.357,12.25,12.324,12.409,12.175,12.066,12.339,12.066,12.1,12.1,11.975
15.03.1968,12.242,11.915,12.324,11.915,12.183,12.183,11.908,12.357,12.357,12.25,12.324,12.409,12.175,12.066,12.339,12.066
18.03.1968,12.275,12.275,12.45,12.275,11.915,12.324,11.915,12.183,12.183,11.908,12.357,12.357,12.25,12.324,12.409,12.175
19.03.1968,12.085,12.275,12.3,12.085,12.275,12.45,12.275,11.915,12.324,11.915,12.183,12.183,11.908,12.357,12.357,12.25
20.03.1968,12.192,12.14,12.242,12.14,12.275,12.3,12.085,12.275,12.45,12.275,11.915,12.324,11.915,12.183,12.183,11.908
21.03.1968,12.057,12.192,12.232,12.057,12.14,12.242,12.14,12.275,12.3,12.085,12.275,12.45,12.275,11.915,12.324,11.915
22.03.1968,12.165,12.057,12.366,12.042,12.192,12.232,12.057,12.14,12.242,12.14,12.275,12.3,12.085,12.275,12.45,12.275
25.03.1968,12.209,12.165,12.242,12.14,12.057,12.366,12.042,12.192,12.232,12.057,12.14,12.242,12.14,12.275,12.3,12.085
26.03.1968,12.339,12.258,12.385,12.258,12.165,12.242,12.14,12.057,12.366,12.042,12.192,12.232,12.057,12.14,12.242,12.14
27.03.1968,12.426,12.366,12.465,12.366,12.258,12.385,12.258,12.165,12.242,12.14,12.057,12.366,12.042,12.192,12.232,12.057
28.03.1968,12.483,12.426,12.568,12.426,12.366,12.465,12.366,12.258,12.385,12.258,12.165,12.242,12.14,12.057,12.366,12.042
29.03.1968,12.724,12.517,12.743,12.517,12.426,12.568,12.426,12.366,12.465,12.366,12.258,12.385,12.258,12.165,12.242,12.14
1.04.1968,13.108,13,13.135,13,12.517,12.743,12.517,12.426,12.568,12.426,12.366,12.465,12.366,12.258,12.385,12.258
2.04.1968,13.193,13.108,13.253,12.992,13,13.135,13,12.517,12.743,12.517,12.426,12.568,12.426,12.366,12.465,12.366
3.04.1968,13.278,13.193,13.469,13.17,13.108,13.253,12.992,13,13.135,13,12.517,12.743,12.517,12.426,12.568,12.426
4.04.1968,13.253,13.269,13.269,13.061,13.193,13.469,13.17,13.108,13.253,12.992,13,13.135,13,12.517,12.743,12.517
5.04.1968,13.091,13.253,13.269,13.053,13.269,13.269,13.061,13.193,13.469,13.17,13.108,13.253,12.992,13,13.135,13
